test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
ANKRD12/nlrp3,0.0,0.0,,,,,3.1684500690144306,,,,,,5.852753432179486,,,,,,
ANKRD13D/ctrl,0.0,0.0,,,,,1.6229157441774649,,,,,,5.854741468125129,,,,,,
ANKRD13D/nlrp3,0.0,0.0,,,,,5.938492034963931,,,,,,5.9458769326328085,,,,,,
ANKRD16/ctrl,32.0,1.0,0.0363699023342988,0.2617619264163123,0.3127740643271774,,0.7175582797689899,0.1819643124130626,0.1323863919532483,19.395773649628573,0.0994427496600662,-2.5535267614763884,8.18236164371939,[13.00500501],[8.28180439],[29.02102102],[8.08291889],0.3000078231424524,0.147459113980893
ANKRD16/nlrp3,0.0,0.0,,,,,0.5493222272284168,,,,,,8.194398407823215,,,,,,
ANKRD17/ctrl,0.0,0.0,,,,,1.8339599907723885,,,,,,7.56016650548879,,,,,,
ANKRD17/nlrp3,0.0,0.0,,,,,2.237750201240785,,,,,,7.571942529026446,,,,,,
ANKRD20A8P/ctrl,0.0,0.0,,,,,4.904602814549319,,,,,,6.040724500477133,,,,,,
ANKRD20A8P/nlrp3,0.0,0.0,,,,,3.6646462285270895,,,,,,6.14561396840225,,,,,,
ANKRD30B/ctrl,0.0,0.0,,,,,2.05133900221188,,,,,,6.650033313640591,,,,,,
ANKRD30B/nlrp3,0.0,0.0,,,,,0.4274296583851423,,,,,,6.7381475831034265,,,,,,
ANKRD46/ctrl,0.0,0.0,,,,,1.0785176740914724,,,,,,5.951543656403845,,,,,,
ANKRD46/nlrp3,0.0,0.0,,,,,0.7488139434938713,,,,,,6.001696237807772,,,,,,
ANKRD60/ctrl,0.0,0.0,,,,,1.1847353709520156,,,,,,5.443336965297671,,,,,,
ANKRD60/nlrp3,32.0,1.0,0.0198976826748246,0.1648557623358343,0.2414677180725656,,0.1642252564426429,0.6244215847306775,0.5305269809133469,7.515939667838463,0.2186885730270065,-0.9308422677303092,5.433979397989133,[4.74074074],[5.65266797],[20.75675676],[5.21529082],0.3303962143537235,0.1432765055943589
ANKRD66/ctrl,0.0,0.0,,,,,5.69861328768518,,,,,,6.241253225456395,,,,,,
ANKRD66/nlrp3,0.0,0.0,,,,,7.083824293142321,,,,,,6.16504992546113,,,,,,
ANO2/ctrl,0.0,0.0,,,,,7.02031639014483,,,,,,2.6496010675118757,,,,,,
ANO2/nlrp3,0.0,0.0,,,,,0.0353914224379387,,,,,,5.760267824533113,,,,,,
ANXA2/ctrl,0.0,0.0,,,,,0.6995629027566781,,,,,,9.809097974591111,,,,,,
ANXA2/nlrp3,0.0,0.0,,,,,0.646861903629122,,,,,,9.806697663435308,,,,,,
ANXA5/ctrl,0.0,0.0,,,,,0.5190986835547651,,,,,,9.341815858157414,,,,,,
ANXA5/nlrp3,0.0,0.0,,,,,0.4422208200351328,,,,,,9.330469176609595,,,,,,
ANXA8L2/ctrl,0.0,0.0,,,,,12.16250986272768,,,,,,7.835700338131064,,,,,,
ANXA8L2/nlrp3,0.0,0.0,,,,,11.132752963948263,,,,,,7.671506750892476,,,,,,
APC2/ctrl,0.0,0.0,,,,,3.9883264605710167,,,,,,6.06449567861624,,,,,,
APC2/nlrp3,0.0,0.0,,,,,6.623118647318162,,,,,,6.124936319587319,,,,,,
APLP1/ctrl,0.0,0.0,,,,,1.8981004767637648,,,,,,6.9949462938634746,,,,,,
APLP1/nlrp3,0.0,0.0,,,,,13.167272716991317,,,,,,3.6286916283424495,,,,,,
APOB/ctrl,32.0,1.0,0.0015724886790994,0.0235873301864913,0.2252307543499316,,2.444470936753928,0.3237672283010694,0.2827834239556797,-2.6673631502323403,0.2697602874801599,-2.201316173686541,7.301903698704923,[11.21121121],[7.57166399],[27.22722723],[7.03214341],0.5537279286324776,0.2721670018046477
APOB/nlrp3,32.0,1.0,3.04440010426843e-05,0.0004566600156402,0.8196278523958564,,1.680454797079754,0.4675573552366894,0.435288104038913,4.07839324896279,0.2968397368865996,-1.8742634850245412,7.289742840219343,[9.54554555],[7.58657781],[25.56156156],[6.9929031],0.4591106921548659,0.2256609683546989
APOO/ctrl,0.0,0.0,,,,,1.7017975954670006,,,,,,7.08958910572068,,,,,,
APOO/nlrp3,0.0,0.0,,,,,2.987175285551717,,,,,,7.097856803405886,,,,,,
ARCN1/ctrl,0.0,0.0,,,,,0.0867784113376176,,,,,,8.688317645253285,,,,,,
ARCN1/nlrp3,0.0,0.0,,,,,0.0863299057589015,,,,,,8.708971418269677,,,,,,
ARF3/ctrl,0.0,0.0,,,,,4.105682591484559,,,,,,6.623572428951656,,,,,,
ARF3/nlrp3,0.0,0.0,,,,,3.920608881361569,,,,,,6.603145955108167,,,,,,
ARFGAP3/ctrl,0.0,0.0,,,,,2.319648101601966,,,,,,7.197225291642657,,,,,,
ARFGAP3/nlrp3,0.0,0.0,,,,,2.3133942464303776,,,,,,7.237670536147716,,,,,,
ARFGEF2/ctrl,32.0,1.0,0.0171358753904399,0.186244125491424,0.6833860232111952,,0.6590133851783784,0.2184369520337696,0.1710694945812708,20.92775949692274,0.106263358909314,-2.0503687789194647,7.814969202611878,[10.44244244],[7.92123102],[26.45845846],[7.70870584],0.287508777162673,0.1413156133665455
ARFGEF2/nlrp3,0.0,0.0,,,,,1.113502486590289,,,,,,7.843045589596047,,,,,,
ARFIP1/ctrl,0.0,0.0,,,,,0.2687242160514311,,,,,,7.916090872811075,,,,,,
ARFIP1/nlrp3,0.0,0.0,,,,,0.3905140768696713,,,,,,7.902244012173351,,,,,,
ARFIP2/ctrl,0.0,0.0,,,,,1.0851499276248229,,,,,,7.3396420408829295,,,,,,
ARFIP2/nlrp3,0.0,0.0,,,,,0.8070631149460884,,,,,,7.322923234161759,,,,,,
ARHGAP18/ctrl,0.0,0.0,,,,,3.4500911155583527,,,,,,6.481864640473283,,,,,,
ARHGAP18/nlrp3,0.0,0.0,,,,,2.0905159328725795,,,,,,6.529739790631356,,,,,,
ARHGAP27/ctrl,0.0,0.0,,,,,6.644370717474851,,,,,,6.667509925186409,,,,,,
ARHGAP27/nlrp3,0.0,0.0,,,,,2.939392605737663,,,,,,6.810792721724943,,,,,,
ARHGAP6/ctrl,0.0,0.0,,,,,3.8300490803875737,,,,,,6.732400813432607,,,,,,
ARHGAP6/nlrp3,0.0,0.0,,,,,6.378892942465624,,,,,,6.743468235919352,,,,,,
ARHGDIA/ctrl,0.0,0.0,,,,,0.4205144060045289,,,,,,9.04361370528132,,,,,,
ARHGDIA/nlrp3,0.0,0.0,,,,,0.4124962269335609,,,,,,9.060863751208167,,,,,,
ARHGEF16/ctrl,0.0,0.0,,,,,0.8253204404512317,,,,,,7.3167208355341185,,,,,,
ARHGEF16/nlrp3,0.0,0.0,,,,,0.5870336915656924,,,,,,7.321620250103582,,,,,,
ARHGEF2/ctrl,0.0,0.0,,,,,0.1935035409542231,,,,,,8.155845853379248,,,,,,
ARHGEF2/nlrp3,0.0,0.0,,,,,0.1614284584786068,,,,,,8.155686913825352,,,,,,
ARID1B/ctrl,0.0,0.0,,,,,1.8873186857372943,,,,,,6.619966391852828,,,,,,
ARID1B/nlrp3,0.0,0.0,,,,,2.9213125527969,,,,,,6.6301784630682965,,,,,,
ARIH1/ctrl,0.0,0.0,,,,,0.7169703598931001,,,,,,7.493103976827154,,,,,,
ARIH1/nlrp3,0.0,0.0,,,,,1.126183870085001,,,,,,7.457512393031198,,,,,,
ARL14EP/ctrl,32.0,1.0,0.0209899652339643,0.0653058775463449,0.7744054787227153,,3.735696405941068,0.2752843443217405,0.214891373015219,-11.60965515163434,0.3211680383915536,2.19502669890458,6.209578599584004,[20.82082082],[6.53074664],[4.8048048],[5.88841323],0.8142701506578779,0.3945301216817433
ARL14EP/nlrp3,0.0,0.0,,,,,6.5827172810518935,,,,,,6.02022927694025,,,,,,
ARRDC1/ctrl,0.0,0.0,,,,,1.7208803018492966,,,,,,6.47823536823493,,,,,,
ARRDC1/nlrp3,0.0,0.0,,,,,2.257470946993304,,,,,,6.457478211719444,,,,,,
ARRDC2/ctrl,0.0,0.0,,,,,0.6697790041236137,,,,,,5.716784572657271,,,,,,
ARRDC2/nlrp3,0.0,0.0,,,,,1.2045362306309275,,,,,,5.558863946299271,,,,,,
ARSA/ctrl,0.0,0.0,,,,,2.729704943205432,,,,,,6.328137692020997,,,,,,
ARSA/nlrp3,0.0,0.0,,,,,2.668702966144807,,,,,,6.373828520584468,,,,,,
ASDURF/ctrl,0.0,0.0,,,,,1.1528323841829764,,,,,,6.995639859588217,,,,,,
ASDURF/nlrp3,0.0,0.0,,,,,2.5610623171722287,,,,,,6.906527982849954,,,,,,
ASNS/ctrl,32.0,1.0,1.608816265874502e-05,0.0002413224398811,0.8628546769079877,,0.3285871975244037,0.4877461403910017,0.4567004519298503,33.45470832335399,0.1392082884679535,-2.151000375430849,8.526650350189108,[10.95495495],[8.66585864],[26.97097097],[8.38744206],0.2030155522748631,0.0997857094165783
ASNS/nlrp3,32.0,1.0,7.026791423170309e-07,1.0540187134755463e-05,0.3023248659795816,,0.2085286534947656,0.5762827103551029,0.5506028746190486,41.63977246317912,0.131717879704043,-2.0377898293555416,8.475066722988768,[10.37837838],[8.6067846],[26.39439439],[8.34334884],0.1617286119410978,0.0794924531380305
ASPG/ctrl,0.0,0.0,,,,,0.1191245550122847,,,,,,4.860514306870838,,,,,,
ASPG/nlrp3,0.0,0.0,,,,,0.0882084082914569,,,,,,5.164423059479239,,,,,,
ASXL1/ctrl,0.0,0.0,,,,,0.6152894874561908,,,,,,7.975293205117037,,,,,,
