pVal,phase,peak.shape,period,names
0.01343726789545509,20,8,24,AC021701.1_ctrl
0.0021425664261621926,20,16,24,AC022007.1_ctrl
7.211776060738019e-7,24,4,24,AC022034.1_ctrl
4.336790866868948e-5,24,12,24,AC022075.1_ctrl
0.0015303329712669307,20,8,24,AC022098.1_ctrl
6.892638675008065e-5,20,8,24,AC022107.1_ctrl
0.01343726789545509,8,16,24,AC022150.4_ctrl
0.001778407953169249,24,4,24,AC022210.2_ctrl
0.0028826080269649763,24,4,24,AC022211.3_ctrl
7.46793187872608e-6,24,4,24,AC022364.1_ctrl
0.005479719673419518,20,12,24,AC022400.5_ctrl
0.008476319672710196,20,16,24,AC022400.8_ctrl
0.003199787121739946,16,12,24,AC022400.9_ctrl
0.00439550000609615,20,16,24,AC022413.2_ctrl
0.003602356225725688,20,8,24,AC022415.3_ctrl
6.726242925696399e-4,20,8,24,AC022596.2_ctrl
0.014512249327091494,20,8,24,AC022613.2_ctrl
4.2528145990342503e-4,20,8,24,AC022916.2_ctrl
0.03168240808597925,20,12,24,AC023024.1_ctrl
2.4934785859425653e-4,20,16,24,AC023043.4_ctrl
5.8676607618562055e-6,24,4,24,AC023157.3_ctrl
0.0040346389728127706,20,16,24,AC023355.2_ctrl
0.020521829951715285,20,16,24,AC023509.1_ctrl
0.005923031365166026,20,8,24,AC023509.3_ctrl
0.0097946497660776,20,16,24,AC023908.3_ctrl
0.0025115381836506123,24,8,24,AC024075.2_ctrl
0.01928900370451455,16,16,24,AC024592.3_ctrl
0.04959442238331194,20,8,24,AC025031.4_ctrl
0.005479719673419518,20,12,24,AC025171.1_ctrl
7.366837490048437e-4,20,8,24,AC025171.2_ctrl
0.0019031242409563386,16,12,24,AC025176.1_ctrl
3.254928406242013e-4,24,12,24,AC025181.2_ctrl
0.010256166680891016,24,12,24,AC025449.2_ctrl
0.0028082361150058733,20,8,24,AC025569.1_ctrl
2.1385241898605926e-5,4,20,24,AC025678.3_ctrl
0.0304638539288262,20,12,24,AC025682.2_ctrl
0.03739775365229628,4,12,24,AC025857.2_ctrl
0.00882949965907312,8,8,24,AC026124.2_ctrl
0.02300917026717133,20,12,24,AC026150.2_ctrl
0.0019031242409563386,20,12,24,AC026191.1_ctrl
2.4934785859425653e-4,20,16,24,AC026202.2_ctrl
1.3559698721558481e-4,20,12,24,AC026304.1_ctrl
0.0012985188649991056,12,16,24,AC026333.3_ctrl
